3905.9469590000 0.9989790000 0.0006790000 ASTEP 1.845 1075
3905.9476810000 1.0003850000 0.0006820000 ASTEP 1.847 1104
3905.9484020000 1.0019540000 0.0006760000 ASTEP 1.850 1095
3905.9491240000 1.0020490000 0.0006730000 ASTEP 1.853 1057
3905.9498460000 1.0007010000 0.0006730000 ASTEP 1.856 1018
3905.9505680000 1.0022950000 0.0006710000 ASTEP 1.859 1016
3905.9512890000 1.0010420000 0.0006750000 ASTEP 1.862 1039
3905.9520110000 0.9989970000 0.0006760000 ASTEP 1.865 1065
3905.9527320000 0.9986900000 0.0006750000 ASTEP 1.868 1063
3905.9534540000 0.9994740000 0.0006740000 ASTEP 1.871 1061
3905.9541760000 1.0039090000 0.0006880000 ASTEP 1.874 1068
3905.9548970000 1.0025180000 0.0006930000 ASTEP 1.876 1057
3905.9556190000 0.9996870000 0.0006900000 ASTEP 1.879 1049
3905.9563410000 0.9996550000 0.0007300000 ASTEP 1.882 1043
3905.9570620000 1.0006750000 0.0007400000 ASTEP 1.885 1029
3905.9577840000 1.0019150000 0.0006860000 ASTEP 1.888 1014
3905.9585050000 1.0025520000 0.0006720000 ASTEP 1.891 1017
3905.9592270000 1.0005480000 0.0006740000 ASTEP 1.894 1032
3905.9599480000 0.9994200000 0.0006810000 ASTEP 1.897 1032
3905.9606700000 0.9994880000 0.0006820000 ASTEP 1.900 1025
3905.9613920000 1.0006020000 0.0006810000 ASTEP 1.903 1015
3905.9621130000 0.9989800000 0.0006760000 ASTEP 1.906 982
3905.9628350000 0.9995910000 0.0006820000 ASTEP 1.909 959
3905.9635560000 0.9984080000 0.0006870000 ASTEP 1.912 950
3905.9642780000 0.9992960000 0.0006950000 ASTEP 1.915 951
3905.9650000000 0.9965980000 0.0007050000 ASTEP 1.918 941
3905.9657210000 0.9977390000 0.0006830000 ASTEP 1.921 914
3905.9664430000 1.0010450000 0.0006840000 ASTEP 1.923 907
3905.9671640000 0.9973640000 0.0007000000 ASTEP 1.926 892
3905.9678860000 0.9998970000 0.0007340000 ASTEP 1.929 886
3905.9686080000 0.9953110000 0.0007780000 ASTEP 1.932 868
3905.9693290000 0.9982180000 0.0008710000 ASTEP 1.935 854
3905.9700510000 0.9967680000 0.0008270000 ASTEP 1.938 836
3905.9707730000 1.0076720000 0.0007280000 ASTEP 1.941 817
3905.9714940000 0.9991930000 0.0006940000 ASTEP 1.944 816
3905.9722160000 1.0010480000 0.0006850000 ASTEP 1.947 826
3905.9729370000 1.0041990000 0.0006880000 ASTEP 1.950 831
3905.9736590000 0.9994550000 0.0007010000 ASTEP 1.953 830
3905.9743810000 1.0021040000 0.0007020000 ASTEP 1.956 820
3905.9751020000 1.0030970000 0.0007340000 ASTEP 1.959 813
3905.9758240000 1.0024400000 0.0007450000 ASTEP 1.962 781
3905.9765460000 1.0021480000 0.0007240000 ASTEP 1.965 766
3905.9772670000 1.0055320000 0.0007060000 ASTEP 1.968 779
3905.9779890000 1.0031230000 0.0006940000 ASTEP 1.971 778
3905.9787110000 1.0013710000 0.0006980000 ASTEP 1.974 777
3905.9794320000 1.0055130000 0.0007010000 ASTEP 1.977 776
3905.9801540000 0.9999460000 0.0007220000 ASTEP 1.980 787
3905.9808750000 1.0019260000 0.0007320000 ASTEP 1.983 790
3905.9815970000 1.0004330000 0.0007290000 ASTEP 1.986 812
3905.9823190000 1.0044020000 0.0007100000 ASTEP 1.989 849
3905.9830400000 1.0020260000 0.0007050000 ASTEP 1.992 877
3905.9837620000 1.0003200000 0.0007100000 ASTEP 1.995 879
3905.9844830000 0.9969800000 0.0007050000 ASTEP 1.998 844
3905.9852050000 1.0029000000 0.0007100000 ASTEP 2.001 835
3905.9859270000 0.9997730000 0.0007070000 ASTEP 2.004 843
3905.9866480000 1.0006340000 0.0007080000 ASTEP 2.007 858
3905.9873700000 0.9990680000 0.0007090000 ASTEP 2.010 865
3905.9880910000 0.9975110000 0.0007090000 ASTEP 2.013 870
3905.9888130000 1.0008100000 0.0007100000 ASTEP 2.016 868
3905.9895350000 0.9981030000 0.0007080000 ASTEP 2.018 854
3905.9902560000 0.9998740000 0.0007130000 ASTEP 2.021 841
3905.9909780000 0.9978350000 0.0007290000 ASTEP 2.024 829
3905.9916990000 1.0007220000 0.0007470000 ASTEP 2.027 829
3905.9924210000 0.9961510000 0.0008250000 ASTEP 2.030 858
3905.9931420000 0.9972600000 0.0007360000 ASTEP 2.033 868
3905.9938640000 1.0037840000 0.0007120000 ASTEP 2.036 857
3905.9945860000 0.9968020000 0.0007130000 ASTEP 2.039 835
3905.9953080000 1.0035880000 0.0007210000 ASTEP 2.042 845
3905.9960290000 1.0004260000 0.0007370000 ASTEP 2.045 875
3905.9967510000 1.0021520000 0.0007440000 ASTEP 2.048 878
3905.9974730000 1.0014400000 0.0007410000 ASTEP 2.051 886
3905.9981940000 0.9964880000 0.0007450000 ASTEP 2.054 868
3905.9989160000 0.9980560000 0.0007410000 ASTEP 2.057 857
3905.9996370000 0.9958440000 0.0007580000 ASTEP 2.060 853
3906.0003590000 1.0011820000 0.0007510000 ASTEP 2.063 867
3906.0010810000 0.9938910000 0.0007350000 ASTEP 2.066 880
3906.0018030000 1.0024870000 0.0007920000 ASTEP 2.069 876
3906.0025240000 1.0078880000 0.0009170000 ASTEP 2.072 865
3906.0032460000 1.0000280000 0.0009000000 ASTEP 2.075 851
3906.0039670000 0.9964810000 0.0007800000 ASTEP 2.077 848
3906.0046890000 0.9987320000 0.0007540000 ASTEP 2.080 849
3906.0054110000 0.9980130000 0.0007420000 ASTEP 2.083 868
3906.0061330000 0.9975860000 0.0007970000 ASTEP 2.086 879
3906.0068540000 1.0014040000 0.0008090000 ASTEP 2.089 858
3906.0075760000 0.9978550000 0.0007810000 ASTEP 2.092 847
3906.0082980000 1.0008270000 0.0007820000 ASTEP 2.095 855
3906.0090190000 1.0000560000 0.0007870000 ASTEP 2.098 865
3906.0097410000 0.9934510000 0.0007780000 ASTEP 2.101 850
3906.0104620000 0.9994640000 0.0007770000 ASTEP 2.104 853
3906.0111840000 0.9954510000 0.0007710000 ASTEP 2.106 842
3906.0119060000 0.9970870000 0.0007990000 ASTEP 2.109 851
