time flux flux_err
1523.9310066850 0.9989689650 0.0008166456
1523.9518405448 0.9989825668 0.0008166653
1523.9726744039 0.9998307244 0.0008166669
1524.0143421202 0.9992591686 0.0008166589
1524.0351759773 0.9992294530 0.0008166397
1524.0560098337 0.9999716942 0.0008166342
1524.0768436895 0.9988648389 0.0008166286
1524.0976775446 0.9996964860 0.0008166132
1524.1185113989 1.0005913111 0.0008166258
1524.1393452526 0.9986680752 0.0008166183
1524.1601791056 0.9993080917 0.0008166157
1524.1810129580 0.9998213385 0.0008166118
1524.2018468096 1.0015782458 0.0008166002
1524.2226806605 0.9994694924 0.0008166149
1524.2435145108 1.0008724069 0.0008166256
1524.2643483603 1.0002536498 0.0008166421
1524.2851822092 0.9989106578 0.0008166273
1524.3060160574 0.9999030808 0.0008166399
1524.3268499049 0.9999192118 0.0008166394
1524.3476837516 0.9996654931 0.0008166560
1524.3685175978 0.9999170922 0.0008166685
1524.3893514431 1.0005158901 0.0008166926
1524.4101852878 0.9997637754 0.0008166989
1524.4310191318 1.0015005176 0.0008166975
1524.4518529751 0.9992025229 0.0008167153
1524.4726868177 0.9999480576 0.0008167268
1524.4935206596 0.9996373914 0.0008167198
1524.5143545008 1.0014289301 0.0008167267
1524.5351883413 0.9999461649 0.0008167353
1524.5560221810 0.9994709681 0.0008167532
1524.5768560201 1.0013212582 0.0008167694
1524.5976898585 0.9999229583 0.0008167673
1524.6185236961 1.0007745172 0.0008167380
1524.6393575331 1.0001190632 0.0008167495
1524.6601913693 1.0001015759 0.0008167266
1524.6810252048 1.0000833184 0.0008167110
1524.7018590396 0.9995371041 0.0008167110
1524.7226928737 1.0006235287 0.0008167008
1524.7435267071 1.0018519004 0.0008166820
1524.7643605397 0.9998916669 0.0008166865
1524.7851943717 1.0012882952 0.0008167038
1524.8060282029 1.0002936524 0.0008167084
1524.8268620334 1.0012284904 0.0008167081
1524.8476958632 1.0005940833 0.0008167277
1524.8685296922 1.0009933777 0.0008167286
1524.8893635205 0.9994106156 0.0008167433
1524.9101973481 1.0000383247 0.0008167475
1524.9310311750 0.9986290688 0.0008167313
1524.9518650012 0.9998871860 0.0008167130
1524.9726988265 0.9991570162 0.0008167154
1524.9935326512 1.0001597451 0.0008167254
1525.0143664752 1.0008805623 0.0008167270
1525.0352002984 0.9998057358 0.0008167103
1525.0560341209 0.9996272497 0.0008167029
1525.0768679426 1.0010199121 0.0008167015
1525.0977017636 0.9997652507 0.0008166894
1525.1185355839 0.9998454362 0.0008167076
1525.1393694034 1.0001720707 0.0008166860
1525.1602032222 1.0002673470 0.0008166805
1525.1810370402 1.0008310506 0.0008166779
1525.2018708575 0.9999647820 0.0008166781
1525.2227046740 1.0000078584 0.0008166695
1525.2435384898 0.9997192453 0.0008166727
1525.2643723048 1.0005698570 0.0008166757
1525.2852061192 0.9996702631 0.0008166563
1525.3060399327 1.0009749474 0.0008166619
1525.3268737455 0.9994186144 0.0008166523
1525.3477075575 0.9997739432 0.0008166441
1525.3685413688 0.9988620629 0.0008166492
1525.3893751792 0.9992715833 0.0008166476
1525.4102089890 0.9993265349 0.0008166351
1525.4310427980 0.9994920659 0.0008166549
1525.4518766062 1.0002541084 0.0008166346
1525.4727104136 1.0001118597 0.0008166275
1525.4935442203 1.0000299073 0.0008166108
1525.5143780262 0.9999108506 0.0008166319
1525.5352118314 0.9992702147 0.0008166400
1525.5560456357 0.9992372142 0.0008166331
1525.5768794393 1.0006834102 0.0008166500
1525.5977132421 1.0011616114 0.0008166442
1525.6185470442 0.9986936022 0.0008166586
1525.6393808454 1.0011711015 0.0008166555
1525.6602146459 1.0007766666 0.0008166457
1525.6810484456 1.0004237228 0.0008166533
1525.7018822445 0.9999717070 0.0008166349
1525.7227160426 1.0011472974 0.0008166361
1525.7435498399 0.9995983110 0.0008166527
1525.7643836364 0.9992628337 0.0008166455
1525.7852174322 0.9996288328 0.0008166562
1525.8060512271 0.9999035558 0.0008166690
1525.8268850212 0.9993122734 0.0008166902
1525.8477188145 0.9990469578 0.0008167057
1525.8685526071 0.9992321041 0.0008167200
1525.8893863988 0.9990102272 0.0008167022
1525.9102201897 1.0002043335 0.0008166915
1525.9310539798 1.0004855359 0.0008166850
1525.9518877692 0.9996577088 0.0008166747
1525.9727215576 0.9985555636 0.0008166755
1525.9935553453 0.9990564497 0.0008166769
1526.0143891321 1.0005224347 0.0008166757
1526.0352229182 1.0005925865 0.0008166756
1526.0560567034 0.9991956357 0.0008166809
1526.0768904878 1.0005774177 0.0008166898
1526.0977242713 0.9992978260 0.0008166820
1526.1185580541 1.0007636045 0.0008166803
1526.1393918360 1.0000793604 0.0008166884
1526.1602256170 1.0002263516 0.0008166880
1526.1810593972 1.0007314309 0.0008167064
1526.2018931766 1.0002561631 0.0008166972
1526.2227269551 1.0005595527 0.0008167082
1526.2435607329 1.0001023780 0.0008167137
1526.2643945097 1.0014809742 0.0008167096
1526.2852282857 0.9995320307 0.0008167127
1526.3060620608 1.0010422001 0.0008167240
1526.3268958351 1.0002886692 0.0008167058
1526.3477296085 0.9995240640 0.0008166911
1526.3685633811 1.0005929960 0.0008166823
1526.3893971527 1.0006724481 0.0008166633
1526.4102309236 0.9984467264 0.0008166439
1526.4310646935 1.0013065958 0.0008166341
1526.4518984626 1.0003715739 0.0008166437
1526.4727322308 1.0011432596 0.0008166357
1526.4935659981 0.9989779064 0.0008166421
1526.5143997645 0.9989061465 0.0008166459
1526.5352335301 0.9999057289 0.0008166313
1526.5560672947 0.9994797154 0.0008166097
1526.5769010585 1.0001447562 0.0008166242
1526.5977348213 0.9995178413 0.0008166415
1526.6185685833 1.0002022735 0.0008166396
1526.6394023444 1.0015781463 0.0008166596
1526.6602361046 0.9995020866 0.0008166652
1526.6810698638 1.0012415242 0.0008166764
1526.7019036221 1.0004941765 0.0008166799
1526.7227373795 0.9993687680 0.0008167040
1526.7435711360 1.0004338495 0.0008167067
1526.7852386462 0.9991769294 0.0008166936
1526.8060723999 0.9989540032 0.0008167029
1526.8269061527 0.9982674499 0.0008166967
1526.8477399045 0.9996506130 0.0008166747
1526.8685736554 1.0010033548 0.0008166693
1526.8894074053 1.0008582788 0.0008166500
1526.9102411543 0.9996370970 0.0008166414
1526.9310749023 1.0006023594 0.0008166442
1526.9519086494 0.9989596509 0.0008166451
1526.9727423955 0.9999185423 0.0008166231
1526.9935761406 1.0012755303 0.0008166230
1527.0144098847 0.9997311790 0.0008166365
1527.0352436279 0.9986203364 0.0008166317
1527.0560773701 1.0000480866 0.0008166220
1527.0769111113 1.0002766610 0.0008166250
1527.0977448515 0.9998591990 0.0008166206
1527.1185785907 0.9994977829 0.0008166416
1527.1394123289 1.0002432485 0.0008166293
1527.1602460661 0.9991363556 0.0008166390
1527.1810798022 1.0007732010 0.0008166537
1527.2019135374 0.9988504864 0.0008166570
1527.2227472715 0.9991886187 0.0008166738
1527.2435810047 1.0016484077 0.0008166825
1527.2644147367 0.9994525314 0.0008166914
1527.2852484677 0.9999257289 0.0008166770
1527.3060821977 1.0013132099 0.0008166839
1527.3269159266 1.0011852821 0.0008166936
1527.3477496545 0.9998867762 0.0008166883
1527.3685833813 1.0010669405 0.0008166976
1527.3894171070 1.0012100276 0.0008167066
1527.4102508317 1.0002838914 0.0008166933
1527.4310845552 0.9996306528 0.0008167150
1527.4519182778 1.0009057155 0.0008167087
1527.4727519991 0.9996929844 0.0008167279
1527.4935857194 0.9996989167 0.0008167184
1527.5144194386 1.0005423286 0.0008166956
1527.5352531566 1.0016435169 0.0008167051
1527.5560868735 0.9996629916 0.0008166869
1527.5769205894 0.9997381851 0.0008166996
1527.5977543040 0.9992328203 0.0008167013
1527.6185880176 0.9993840694 0.0008167036
1527.6394217299 1.0004324601 0.0008167228
1527.6602554411 0.9993903977 0.0008167095
1527.6810891511 0.9999205075 0.0008167280
1527.7019228600 0.9987482778 0.0008167442
1527.7227565676 0.9994835112 0.0008167390
1527.7435902742 1.0001478598 0.0008167465
1527.7644239794 1.0000071344 0.0008167536
1527.7852576835 0.9983157363 0.0008167362
1527.8060913863 0.9998859923 0.0008167170
1527.8269250879 1.0009637041 0.0008167145
1527.8477587883 0.9997584004 0.0008167082
1527.8685924874 1.0006626456 0.0008167091
1527.8894261853 1.0009942349 0.0008167271
1527.9102598819 1.0003082749 0.0008167118
1527.9310935772 0.9996316302 0.0008167151
1527.9519272713 1.0009691167 0.0008167153
1527.9727609640 0.9991164757 0.0008167138
1527.9935946554 0.9995925318 0.0008167255
1528.0144283455 1.0012778358 0.0008167218
1528.0352620343 1.0000938017 0.0008167124
1528.0560957217 1.0003721661 0.0008167130
1528.0769294078 0.9997456370 0.0008167171
1528.0977630925 0.9990793748 0.0008167165
1528.1185967759 1.0011550961 0.0008167100
1528.1394304578 0.9996274723 0.0008167139
1528.1602641384 0.9996524806 0.0008167042
1528.1810978175 1.0000553809 0.0008167162
1528.2019314952 0.9995239417 0.0008167032
1528.2227651714 0.9994980830 0.0008166935
1528.2435988462 1.0004659128 0.0008167041
1528.2644325195 1.0004437992 0.0008166940
1528.2852661914 1.0004288405 0.0008166919
1528.3060998617 0.9996147615 0.0008167056
1528.3269335306 0.9999817962 0.0008167207
1528.3477671978 1.0000819261 0.0008167178
1528.3686008636 1.0022726729 0.0008167330
1528.3894345277 1.0003192439 0.0008167451
1528.4102681904 0.9992530171 0.0008167500
1528.4311018513 1.0010923771 0.0008167405
1528.4519355108 0.9995181943 0.0008167580
1528.4727691685 1.0000594320 0.0008167489
1528.4936028247 1.0009954968 0.0008167475
1528.5144364791 0.9991420641 0.0008167548
1528.5352701319 1.0008778584 0.0008167693
1528.5561037829 0.9992746316 0.0008167613
1528.5769374323 0.9993833369 0.0008167604
1528.5977710798 1.0001821992 0.0008167480
1528.6186047257 0.9993154530 0.0008167380
1528.6394383697 1.0004849864 0.0008167463
1528.6602720120 0.9995990688 0.0008167359
1528.6811056523 0.9988682352 0.0008167383
1528.7019392909 1.0000549345 0.0008167209
1528.7227729276 0.9997908938 0.0008167075
1528.7436065624 0.9992586779 0.0008167109
1528.7644401953 nan nan
1528.7852738263 nan nan
1528.8061074552 nan nan
1528.8269410822 nan nan
1528.8477747072 nan nan
1528.8686083302 nan nan
